Major:,Computer Engineering,,,,,,,,,,,,,
Department,Number,Name,Hours,Spring/Fall,Required,# Prereqs,Prereqs:,,,,,,,
FE,10,Study & Careers in Engineering,1,FS,1,0,,,,,,,,
MATH,14,Calculus I for Engineers,4,FS,1,0,,,,,,,,
CHEM,1,General Chemistry,4,FS,1,0,,,,,,,,
CHEM,2,General Chemistry Lab,1,FS,1,0,,,,,,,,
HIST,199,"History Requirement (112, 175, 176)",3,FS,1,0,,,,,,,,
ENG,20,Exposition & Argumentation,3,FS,1,0,,,,,,,,
IDE,20,Introduction to Engineering Design,3,FS,1,1,FE10,,,,,,,
MATH,15,Calculus II for Engineers,4,FS,1,1,MATH14,,,,,,,
PHYS,23,Engineering Physics I,4,FS,1,1,MATH14,,,,,,,
ECON,199,Econ Elective (121 or 122),3,FS,1,0,,,,,,,,
HSS,99,Humanities Elective,3,FS,1,0,,,,,,,,
EE,151,Circuits I,3,FS,1,1,MATH15,,,,,,,
EE,152,Circuits Analysis Lab,1,FS,1,1,MATH15,,,,,,,
MATH,22,Calculus w/ Analytic Geometry III,4,FS,1,1,MATH15,,,,,,,
CS,53,Introduction to Programming,3,FS,1,0,,,,,,,,
CS,54,Introduction to Programming Lab,1,FS,1,0,,,,,,,,
PHYS,24,Engineering Physics II,4,FS,1,1,PHYS23,,,,,,,
CPE,111,Introduction to Computer Engineering,3,FS,1,0,,,,,,,,
CPE,112,Computer Engineering Lab I,1,FS,1,0,,,,,,,,
EE,153,Circuits II,3,FS,1,2,EE151,MATH22,,,,,,
MATH,204,Elementary Differential Equations,3,FS,1,1,MATH22,,,,,,,
CS,153,Data Structures I,3,FS,1,1,CS53,,,,,,,
CS,128,Discrete Mathemtics,3,FS,1,1,CS53,,,,,,,
CPE,213,Digital Systems Design,3,FS,1,2,CPE111,CS53,,,,,,
CPE,214,Digital Engineering Lab II,1,FS,1,2,CPE111,CS53,,,,,,
CPE,215,Computer Organization and Design,3,FS,1,2,CPE111,CPE213,,,,,,
EE,121,Introduction to Electronic Devices,3,FS,1,3,EE151,EE152,PHYS24,,,,,
EE,122,Electronic Devices Lab,1,FS,1,3,EE151,EE152,PHYS24,,,,,
MATH,299,Math Elective,3,FS,1,1,MATH15,,,,,,,
SP,85,Principles of Speech,3,FS,1,0,,,,,,,,
CPE,299,Computer Engineering Elective,3,FS,1,1,CPE213,,,,,,,
EE,215,Discrete Linear Systems I,3,FS,1,1,EE153,,,,,,,
EE,216,Discrete Linear Systems I Lab,1,FS,1,1,EE153,,,,,,,
CS,284,Introduction to Operating Systems,3,FS,1,3,CS128,CS153,CPE213,,,,,
STAT,217,Probability & Statistics for Engineers and Scientists,3,FS,1,1,MATH15,,,,,,,
ENG,160,Technical Writing,3,FS,1,1,ENG20,,,,,,,
CPE,319,Digital Network Design,3,FS,1,1,CPE213,,,,,,,
CPE,299,Computer Engineering Elective,3,FS,1,1,CPE213,,,,,,,
CPE,391,Electrical Engineering Senior Project I,1,FS,1,8,STAT217,CPE111,SP85,ENG160,CPE213,CPE214,CPE215,EE121
HSS,99,Humanities Elective,3,FS,1,0,,,,,,,,
FREE,99,Free Elective,3,FS,1,0,,,,,,,,
SCI,199,Engineering Science Elective,3,FS,1,0,,,,,,,,
CPE,299,Computer Engineering Elective,3,FS,1,1,CPE213,,,,,,,
CPE,299,Computer Engineering Elective,3,FS,1,1,CPE213,,,,,,,
CPE,392,Electical Engineering Senior Project II,3,FS,1,1,CPE391,,,,,,,
HSS,299,Humanities Elective (Upper Level),3,FS,1,0,,,,,,,,
FREE,99,Free Elective,3,FS,1,0,,,,,,,,
